,user,text,favorite_count,retweet_count,created_at
0,AmazonHelp,"@safaa_dawood بيتم ارسال ايميل موضح فيه سبب الالغاء، ممكن نتواصل وقتها مع خدمة العملاء، و هيتم حل الاشكالية. 

- احمد",0,0,2023-05-17 01:20:49+00:00
1,AmazonHelp,"@SteelCity_Burg We're so sorry to hear about this experience! Just to clarify, have you had a chance to contact us regarding this delivery? We want to be sure this is looked into. -Andrew",0,0,2023-05-17 01:20:44+00:00
2,AmazonHelp,"@Amandee54377118 Please follow our Twitter handle so that we can continue to support over DM.
 -Mohammed",0,0,2023-05-17 01:20:11+00:00
3,AmazonHelp,"@darktodash Thank you for your feedback, we really appreciate it. We apologize for any inconvenience. We hope you have a good day. -Rose",0,0,2023-05-17 01:19:57+00:00
4,AmazonHelp,@kklappco We were able to locate your details. Thank you for confirming for us. Please keep an eye on your e-mails for any updates. -Erin,0,0,2023-05-17 01:19:11+00:00
5,AmazonHelp,@wedoforgive Thanks for the update! We're glad to hear it's working for you now. -Dustin,0,0,2023-05-17 01:19:05+00:00
6,AmazonHelp,@AndressaHerrera Sugerimos entrar em contato conosco pelo chat ou telefone para verificar o ocorrido: https://t.co/qGpkDwGRhX. -Nan,0,0,2023-05-17 01:19:00+00:00
7,AmazonHelp,"@0217py Amazon公式です。
ご心配をおかけしております。商品が未発送の場合、出荷準備にお時間をいただいている可能性がございます。Twitter上では詳細をお調べできないのですが、進捗があり次第AmazonよりEメールでお知らせします。発送まで今しばらくお待ちいただければ幸いです。阿部",0,0,2023-05-17 01:18:51+00:00
8,AmazonHelp,@weprintonthat Hello! You can find all available refund and replacement options for your order here: https://t.co/sa4jRlMZzs. -Rose,0,0,2023-05-17 01:18:24+00:00
9,AmazonHelp,"@baaabyarmy  We'd like to take a closer look at this with you. Since we don't have account access via social media outlets, please connect with us here: https://t.co/hApLpMlfHN . -Shanta",0,0,2023-05-17 01:18:04+00:00
10,AmazonHelp,@wavveswork Hey there! Glad to hear it was resolved. Please don't hesitate to reach out in the future if we can be of further assistance. We're always here and happy to help however we can! -Sara,0,0,2023-05-17 01:18:00+00:00
11,AmazonHelp,"@HIMA_uchinoLION Amazonをご利用いただきありがとうございます。
気に入っていただけましたら幸いです📦😺✨
百井",0,0,2023-05-17 01:17:16+00:00
12,AmazonHelp,"@Mumalmumal13463 We'd like to help you with this, please reach out to us via DM. We will do our best to assist. 

-Shaaf https://t.co/1XyLaGkcaN",0,0,2023-05-17 01:16:42+00:00
13,AmazonHelp,"@Vanilda1010 Compreendo. Lamentamos os inconvenientes. Neste caso, sugiro que entre em contato com o nosso Suporte ao Cliente para reportar o ocorrido: https://t.co/iicPSYGxYi.

 -Cindy",0,0,2023-05-17 01:16:32+00:00
14,AmazonHelp,"@Caracolcienta ¡Hola! Sentimos la situación. ¿Puedes indicarnos si el sistema te muestra algún código o leyenda de error?, además¿contrataste Prime Video mediante un proveedor externo? 
-Fio G.",0,0,2023-05-17 01:16:25+00:00
15,AmazonHelp,"@chickendream235 ご返信をいただき、ありがとうございます。
詳細をお送りいただいたなか、大変恐れ入りますが、その場合はお手続きをいただいた事業者様へ状況確認のご相談を検討いただけないでしょうか。阿部",1,0,2023-05-17 01:14:54+00:00
16,AmazonHelp,"@matt_sears Thank you for sharing your thoughts, and we're sorry for any frustration. We appreciate your feedback, as it's always important in helping us continue to improve our services. If you should have questions or concerns in the future, let us know. Have a good day! -Donald",0,0,2023-05-17 01:13:32+00:00
17,AmazonHelp,"@akino_twi ご返信ありがとうございます。お手数をおかけしました。
また、その他お困りごと等ございましたら、いつでもお声がけください。 - 小松",0,0,2023-05-17 01:12:52+00:00
18,AmazonHelp,"@massy_o  Amazon公式です。ご不快の念をおかけしております。
よろしければこちらのヘルプページをご参照いただき、ページ内「梱包に関するご意見はこちら。」から梱包に関するご意見やご要望をカスタマーサービスへお寄せいただきますようお願いいたします。 https://t.co/8ObWaFFvUV　-藤原",1,0,2023-05-17 01:12:24+00:00
19,AmazonHelp,"@Amandee54377118 We’re sorry, we're unable to respond via DM. You can follow our Twitter handle so that we can continue to support over DM. Also, please don’t provide your order/account details as we consider them to be personal information. 
 -Mohammed",0,0,2023-05-17 01:12:17+00:00
